datetime,wavelengths,mean,std,max,min
20200102020021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[19.234407, 14.226061, 10.732778, 0.646148, 2.297744, 0.643046, 0.48235, 2.795101, 7.694793, 13.292963, 40.20426, 38.167812, 70.55264, 80.79507, 89.26568, 81.075134]","[66.85598, 53.045044, 39.956524, 4.125084, 8.774401, 2.373957, 0.444586, 1.065246, 2.721228, 4.575016, 14.710078, 12.116505, 22.585667, 24.811705, 25.383558, 19.346085]","[804.0361, 628.6211, 372.8076, 78.82507, 95.06721, 30.098692, 8.983927, 6.547606, 16.292883, 25.226053, 63.395058, 61.770844, 104.00037, 116.99408, 126.73935, 111.309326]","[-0.761351, -2.385563, -0.761351, 0.050756, -2.385563, 0.050756, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 8.983927, 4.923395, 6.547606, 8.983927, 13.044458]"
20200102040021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[4.816524, 3.719473, 3.367225, 0.442076, 0.844741, 0.297633, 0.441305, 2.797627, 7.708027, 13.310189, 40.06796, 38.046486, 70.36481, 80.6293, 89.15297, 81.06728]","[38.19909, 30.27634, 27.417034, 4.690278, 6.797639, 2.147371, 0.423063, 1.060896, 2.69612, 4.524254, 14.52238, 11.989318, 22.281555, 24.477537, 25.032635, 19.077698]","[804.0361, 628.6211, 372.8076, 140.54517, 95.06721, 30.098692, 10.608141, 6.547606, 16.292883, 24.413946, 63.395058, 60.958733, 103.18826, 116.99408, 126.73935, 110.49722]","[-0.761351, -1.573456, 0.050756, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 9.796034, 5.7355, 8.17182, 11.420244, 15.480776]"
20200102050021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[2.727994, 2.294502, 2.207961, 0.132284, 0.574773, 0.200799, 0.430229, 2.799813, 7.706752, 13.309229, 39.97544, 37.972305, 70.2379, 80.50461, 89.05854, 81.05109]","[26.647594, 23.346766, 22.787477, 1.384025, 5.781909, 1.700071, 0.429036, 1.055636, 2.684467, 4.503137, 14.427361, 11.91615, 22.127537, 24.31224, 24.8603, 18.944494]","[596.9489, 628.6211, 372.8076, 104.00037, 95.06721, 30.098692, 10.608141, 6.547606, 16.292883, 24.413946, 63.395058, 60.958733, 103.18826, 116.99408, 126.73935, 111.309326]","[-0.761351, -1.573456, 0.050756, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 5.7355, 8.17182, 11.420244, 15.480776]"
20200102070021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[12.288108, 10.360842, 8.529307, 0.362017, 1.97847, 0.550622, 0.455732, 2.798968, 7.712247, 13.31703, 39.87697, 37.863136, 70.152504, 80.41734, 88.99807, 81.06746]","[60.4869, 53.926495, 43.542877, 2.639114, 10.234498, 2.720611, 0.525916, 1.042504, 2.654274, 4.448465, 14.223509, 11.774729, 21.827192, 23.970343, 24.499434, 18.672686]","[804.0361, 628.6211, 372.8076, 87.75825, 95.06721, 30.098692, 20.353415, 6.547606, 16.292883, 24.413946, 63.395058, 60.14663, 103.18826, 116.18198, 126.73935, 111.309326]","[-0.761351, -1.573456, -12.130839, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 7.359712, 9.796034, 13.044458, 17.10499]"
20200102090021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[29.916506, 20.963425, 14.987631, 0.788676, 3.024156, 0.833359, 0.47436, 2.806074, 7.73758, 13.376036, 40.01681, 37.911175, 70.36177, 80.67949, 89.3063, 81.30612]","[72.26834, 54.076397, 39.18486, 3.111422, 8.140888, 2.142956, 0.446068, 1.035982, 2.636574, 4.4129, 14.044289, 11.640568, 21.527925, 23.62898, 24.139486, 18.386087]","[592.8884, 546.5983, 372.8076, 63.395058, 95.06721, 26.03816, 4.111288, 6.547606, 16.292883, 24.413946, 63.395058, 60.958733, 102.37616, 116.18198, 125.927246, 110.49722]","[-0.761351, -1.573456, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 3.299181, 8.983927, 8.983927, 11.420244, 15.480776, 20.353415]"
20200102120021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[69.38169, 42.368786, 29.789177, 1.433672, 4.754168, 1.244373, 0.518092, 2.819152, 7.779328, 13.469523, 40.704823, 38.36798, 71.4314, 81.79061, 90.33089, 81.9251]","[88.53482, 63.398933, 43.582466, 4.435177, 6.726062, 1.842067, 0.402496, 1.03836, 2.640076, 4.410358, 14.148535, 11.743119, 21.666603, 23.71666, 24.145512, 18.31832]","[804.0361, 628.6211, 372.8076, 78.82507, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 66.64348, 60.14663, 109.68512, 124.30304, 131.61198, 112.121445]","[-0.761351, -3.197668, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 3.299181, 8.983927, 8.983927, 12.232351, 16.292883, 21.165522]"
20200102140021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[117.65857, 70.19762, 49.221004, 1.893796, 7.825877, 2.018978, 0.58358, 2.828405, 7.810568, 13.541175, 41.411285, 38.911674, 72.49873, 82.87362, 91.28431, 82.46159]","[106.78332, 81.39563, 55.961613, 5.271565, 8.450256, 2.212089, 0.403637, 1.044679, 2.661828, 4.451172, 14.550098, 12.137296, 22.23844, 24.249634, 24.571194, 18.568026]","[754.49756, 622.12427, 351.6928, 78.01297, 50.401352, 15.480776, 4.111288, 6.547606, 17.10499, 30.9108, 89.38246, 73.95244, 138.92094, 155.16307, 164.90836, 133.2362]","[-0.761351, -1.573456, -8.882414, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 3.299181, 8.983927, 8.17182, 10.608141, 14.668673, 19.541311]"
20200102150021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[148.6422, 89.42244, 62.041035, 2.297638, 9.887038, 2.47369, 0.624209, 2.829185, 7.820253, 13.561435, 41.738213, 39.166763, 72.97997, 83.35053, 91.68542, 82.659676]","[115.38487, 91.79929, 62.764885, 5.932172, 9.689871, 2.447786, 0.407536, 1.045875, 2.678346, 4.486596, 14.845197, 12.386734, 22.67558, 24.674393, 24.943304, 18.808842]","[804.0361, 628.6211, 372.8076, 81.2614, 95.06721, 28.474478, 4.923395, 6.547606, 17.917097, 33.347115, 103.18826, 81.2614, 154.35097, 173.02942, 181.96259, 141.35727]","[-0.761351, -1.573456, -5.633988, -1.573456, -1.573456, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 7.359712, 9.796034, 13.044458, 17.10499]"
20200102160021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[165.68289, 97.769806, 67.62114, 2.635661, 10.761071, 2.69303, 0.667413, 2.827139, 7.819862, 13.558416, 41.963, 39.342842, 73.30821, 83.650475, 91.90922, 82.7186]","[115.04052, 93.767845, 64.174576, 6.653366, 9.789254, 2.465438, 0.410405, 1.048089, 2.695671, 4.527554, 15.145181, 12.613572, 23.134102, 25.142502, 25.3838, 19.10367]","[804.0361, 628.6211, 372.8076, 82.885605, 95.06721, 24.413946, 4.111288, 6.547606, 18.729204, 34.159225, 111.309326, 86.94614, 165.72046, 184.39891, 191.70786, 146.2299]","[-0.761351, -1.573456, -3.197668, -1.573456, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 3.299181, 8.983927, 8.17182, 10.608141, 14.668673, 19.541311]"
20200102180021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[163.47353, 95.93888, 66.01334, 2.859665, 10.433758, 2.634505, 0.670152, 2.814199, 7.785303, 13.492289, 41.979607, 39.372543, 73.29097, 83.56652, 91.72508, 82.423195]","[112.5144, 91.63146, 62.080116, 7.120374, 9.460414, 2.392624, 0.41512, 1.059634, 2.734712, 4.617826, 15.52092, 12.867274, 23.74928, 25.839918, 26.126244, 19.674488]","[804.0361, 628.6211, 372.8076, 79.637184, 60.14663, 14.668673, 8.17182, 6.547606, 16.292883, 34.97133, 108.87302, 86.94614, 164.09625, 181.96259, 190.89574, 148.66623]","[-0.761351, -1.573456, -4.009775, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 7.359712, 9.796034, 13.044458, 17.10499]"
